class (1=건전/0=부도),outx9ln,outx10ln,outx13,outx14,outx15,outx18,outx19,outx21,outx23,outx25,outx27,outx28,outx29,outx31,outx32,outx33,outx34,outx35,outx36,outx37,outx38,outx39,outx41,outx42,outx43,outx44,outx46,outx47,outx49,outx50,outx52,outx53,outx55,outx56,outx59,outx60,outx61,outx62,outx66,outx67,outx69,outx70,outx73
0,6.705639095,6.173786104,40.785,33.047,25.499,72.941,90.989,0.489,215.081,4.651,77.478,86.287,0.489,10.5,7.916,4.372,4.372,126.385,49.438,89.966,116.666,13.693,139.799,34.407,4.372,55.235,20.483,21.787,-0.124,5.012,0.091,0.16,7.043,1.234,-18.539,-8.483,-8.25,-10.25,-9.511,-9.25,-157.303,-70,15.5
1,7.477038472,6.003887067,44.242,45.557,15.339,-85,6.643,10.696,121.431,9.281,73.684,82.385,10.582,1.867,40.493,8.732,8.732,84.197,49.303,75.566,286.092,-10.383,76.758,44.675,8.732,21.565,65.015,69.1,10.696,12.443,-0.196,0.057,153.652,0.971,14.823,12.287,0.957,0.756,-0.543,-0.042,-1.31,-0.084,0.465
1,7.861727078,7.052721049,27.466,27.503,-23.759,0,12.204,7.395,61.009,0.654,75.5,106.625,6.818,1.135,1.47,1.418,0.618,105.944,53.802,87.46,348.543,-0.8,97.681,34.521,5.674,42.051,50.709,53.697,4.429,18.027,-0.058,0.118,185.428,0.998,-8.177,-7.156,-0.593,1.479,-19.209,-1.593,-34.72,-2.52,1.567
1,8.23350314,6.107022888,32.772,18.353,35.92,-99.635,-12.577,0.664,69.588,2.735,88.685,94.607,-1.168,5.8,22.939,6.1,5.236,135.316,0,111.727,62.314,9.354,114.58,64.158,17.742,22.826,11.997,6.268,-0.419,3.917,0.036,0,27.381,1.785,261.44,40.645,24.68,20,38.998,23.68,266.525,25.16,15.36
0,6.953684211,-2.944438979,24.267,28.462,150.478,-16.901,4.156,10.601,120.722,3.151,75.549,91.933,10.506,1.297,-147,2.633,2.633,74.422,29.759,24.161,72.289,-22.186,37.807,35.674,-31.524,-1.516,93.056,111.365,2.467,15.064,-0.328,0.059,16.107,0.852,5.231,4.795,0.549,1.9,-3.93,-0.45,-12.435,-1.306,0.144
0,5.955396858,4.69701984,19.74,29.18,100.65,630.65,78.79,9.74,67,1.72,86.34,92.38,-1.16,1.31,6.25,2.07,1.16,70.56,55.42,15.69,19.44,-13.94,79.27,67.23,1.32,14.99,39.87,75.58,2.26,5.1,-0.02,0.33,2.2,0.68,79.29,37.19,6.15,-2.68,31.15,5.15,-24.59,-2.15,-2.11
0,6.897704943,4.882801923,97.484,15.656,48.425,0,141.935,0.606,170.37,4.04,91.717,74.682,0.606,7.666,30.303,17.777,17.777,187.628,0,269.767,332.352,37.777,297.674,19.111,17.777,58.666,22.222,5.05,0.606,58.235,0.055,0.057,165,5,10,5.376,0.833,-0.5,-1.075,-0.166,-100,-8.333,5.333
0,10.16539017,-8.96,45.676,37.678,5.044,-8.847,-18.01,10.501,0,-4.04,85.804,117.541,9.1,0.615,3.23,-5.389,-5.435,150.69,0,175.11,124.902,28.132,271.853,16.369,-64,-45,0,0,-0.238,9.655,0.287,0.179,8.654,1.212,0,-4.623,-0.877,1.868,-9.89,-1.877,0,-2.364,-2.363
1,8.992433087,7.311218384,38.608,28.425,4.387,-0.922,2.427,6.403,79.512,1.927,82.566,92.565,6.093,1.368,10.354,3.621,2.586,102.272,55.131,39.2,87.902,1.118,102.25,49.682,14.135,24.983,55.941,41.681,0.705,7.93,0.056,0.217,4.383,1.358,26.998,20.133,1.757,2.26,8.676,0.757,-9.039,-0.588,-0.434
0,6.338594078,5.288267031,68.017,41.519,-23.202,60,39.1,2.12,77.736,11.13,74.381,76.091,2.12,6.25,31.818,15.671,15.671,190.839,0,171.71,1136.842,29.601,178.289,37.81,-0.497,49.253,12.437,8.833,1.984,20.214,0.169,0.21,87.076,1.638,132,32.352,5.5,-12.75,26.47,4.5,74,3.083,3.083
0,7.79893331,5.913503006,11.56,12.96,382.77,20.22,25.11,3.77,134.12,2.13,82.65,92.17,3.61,1.58,21.89,1.94,1.9,143.45,32.05,96.53,697.04,20.27,162.92,32.21,2.3,12.18,81.84,102.01,-3.55,17.05,0.3,0.51,4.11,0.89,-8.44,-7.87,-2.28,-2.57,-11.32,-3.28,-21.52,-6.03,-0.23
0,7.043116247,0,62.68,34.08,8.08,-11.63,-21.45,1.53,54.62,3.61,85.44,89.07,1.28,3.4,0,6.74,6.65,-0.06,100,38.68,73.99,-52.89,47.13,100.03,-9.16,-0.03,7.3,3.49,-0.45,4.68,-0.27,0.03,23.91,1.84,165.1,12.06,3.78,10.78,8.86,2.78,70.97,2.33,-4.53
1,7.126890809,6.390240667,36.816,51.084,20.522,56.204,12.093,7.951,77.79,4.658,46.345,93.666,6.425,1.626,9.731,4.216,3.176,69.065,78.097,34.215,208.08,-20.043,64.117,55.859,24.424,32.639,43.756,64.176,-2.212,16.064,-0.316,0.266,7.094,0.72,11.389,7.398,0.919,2.03,-0.65,-0.08,-33.416,-2.696,-1.111
0,7.689988766,5.022695609,47.28,33.43,9.98,65.58,50.87,4.03,-21.58,-6.17,81.7,109.56,3.91,-0.53,-61.36,-8.97,-8.73,73.18,43.3,47.23,59.5,-14.67,75.54,59.97,-4.21,8.17,49.86,42.4,2.06,3.62,-0.09,0,11.54,1.41,4.11,2.23,0.43,1.64,-2.92,-0.57,-58.92,-6.79,1.09
1,7.230563153,5.564520407,26.698,28.023,-31.156,-47.422,-0.892,10.209,82.517,1.013,72.628,90.092,10.065,1.099,5.363,4.365,0.97,53.34,68.651,45.346,118.562,-31.462,50.865,64.033,10.464,18.087,57.033,59.594,2.034,4.153,-0.321,0.097,18.662,0.952,33.535,23.35,1.957,1.836,11.421,0.957,1.336,0.078,-0.297
0,7.146252359,5.80913299,36.2,37.78,6.21,12.25,84.21,7.35,38.08,1.33,74.99,95.77,6.75,1.18,5.19,1.27,1.27,25.57,100,16.51,3.7,-56.5,29.89,80.59,-3.88,19.41,44.23,59.83,4.56,3.05,-0.34,0,9.06,0.96,86.85,47.66,7.07,1.72,40.92,6.07,-62.63,-5.73,1.4
0,7.060476366,5.802118375,27.744,31.673,-20.802,19.101,-15.917,8.326,67.947,1.03,86.437,99.999,7.21,1.134,3.625,1.069,0.987,89.808,43.543,30.042,62.416,-7.736,79.828,38.353,11.851,27.242,59.917,62.489,3.023,4.438,-0.182,0,11.948,0.875,25,20.588,1.876,0.432,9.615,0.876,-6.318,-0.474,-0.412
0,5.321838562,-2.304583096,-7,-26,-74.31,-1.64,-3.1,23.78,-127.23,-94.21,110,0,23.78,-2.96,0,-12.89,-12.89,37.79,26.62,7.56,1.03,-52.49,22.93,68.11,-10.87,-0.68,44.38,319.19,16.02,1.78,-2.91,0.22,1.34,0.14,-0.06,-0.03,-0.01,-1.73,-3.31,-1.01,-8.05,-1.16,-0.71
0,8.293271838,6.01011455,14.43,10.52,29.4,-66.08,11.7,6.45,86.38,0.4,89.03,96.91,6.45,1.06,3.97,0.54,0.54,25.19,100,39.16,988.35,-40.84,52.65,86.25,1.55,13.26,82.65,63.55,-0.06,35.06,-0.31,0.28,5.66,1.37,-1.95,-1.86,-0.19,-0.22,-11.52,-1.19,-12.19,-1.32,0
1,8.131530711,6.573680167,32.415,26.323,17.891,20.076,-0.072,4.823,52.202,2.852,80.294,93.36,3.382,1.762,13.547,4.601,3.514,138.426,88.423,75.989,75.712,8.55,112.791,66.847,6.014,25.942,29.42,23.882,-0.446,3.592,0.065,0.053,5.907,1.231,43.596,17.318,2.158,1.81,6.849,0.853,10.221,0.506,0.402
1,9.252824984,7.275172319,23.381,13.168,9.005,-8.377,2.742,2.856,50.398,1.974,90.233,88.892,2.156,1.936,14.265,4.936,3.458,112.401,6.618,92.163,92.113,5.288,110.158,52.065,13.331,24.244,25.369,14.481,0.275,3.745,0.022,0.005,19.412,1.775,10.919,3.656,0.553,1.104,-2.947,-0.446,-19.457,-0.986,-1.577
1,8.219864742,6.562444094,26.057,39.741,-8.791,10.441,9.912,8.992,62.228,2.019,72.644,99.59,8.562,1.272,10.593,1.534,1.264,52.53,72.526,23.492,112.368,-22.926,69.279,74.629,5.192,11.935,48.904,78.109,0.839,8.547,-0.325,0.502,2.025,0.655,22.716,12.614,1.973,0.248,6.221,0.973,9.548,0.829,1.038
0,8.614319902,6.021023349,38.631,14.555,354.245,829.09,246.451,2.141,63.629,1.778,87.949,88.89,2.105,2.008,23.786,3.786,3.041,55.813,96.23,56.616,79.933,-11.266,86.876,85.847,5.027,12.787,31.284,18.294,1.976,5.692,-0.005,0.052,19.469,2.654,16.567,5.943,1.415,0.677,1.743,0.415,-42.361,-3.618,0.906
0,7.138073034,5.332718793,105.418,33.995,40.044,-96.666,119.685,0,0,6.83,79.666,84.505,0,0,41.545,15.412,15.412,363.157,0,111.68,156,26.881,142.735,62.903,15.412,37.096,0,0,-0.778,6.955,0.073,0.077,81.225,3.1,0,-1.709,0,0,-1.709,0,0,0,0
0,7.692569648,6.400257445,22.296,21.259,32.048,-2.469,11.538,4.927,92.035,3.832,89.552,81.064,4.927,1.777,13.953,3.811,3.811,99.768,1.752,82.744,88.314,-0.181,99.168,21.823,3.811,27.313,51.769,52.052,-0.193,8.768,0.075,0.091,27.4,1.048,62.226,44.319,6.574,3.138,37.578,5.574,22.085,2.333,0.592
1,8.926783114,7.802209316,45.388,44.071,1.77,0.914,4.259,3.173,146.038,6.851,74.824,88.719,1.022,3.79,21.095,8.921,6.912,112.619,29.246,105.882,73.47,7.046,118.982,37.119,19.223,32.766,38.566,38.228,-0.11,4.601,0.061,0,22.855,1.029,68.912,39.529,8.301,8.205,34.767,7.301,36.992,4.456,4.096
